spp,CommonName,Source,PrimerNote,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68
Mullus barbatus,Red mullet,Maggio et al. 2009 ICES J Mar Sci 66:1883-1891,0,France,"Sete, Gulf of Lions",43,14,,4,10,,2002-2003,1,Mb6,0,24,2,0.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Maggio et al. 2009 ICES J Mar Sci 66:1883-1891,0,France,"Sete, Gulf of Lions",43,14,,4,10,,2002-2003,1,Mb7,0,23,2,0.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Maggio et al. 2009 ICES J Mar Sci 66:1883-1891,0,France,"Sete, Gulf of Lions",43,14,,4,10,,2002-2003,1,Mb15,0,24,2,0.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Maggio et al. 2009 ICES J Mar Sci 66:1883-1891,0,France,"Sete, Gulf of Lions",43,14,,4,10,,2002-2003,1,Mb26,0,24,2,0.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Maggio et al. 2009 ICES J Mar Sci 66:1883-1891,0,France,"Sete, Gulf of Lions",43,14,,4,10,,2002-2003,1,Mb31,0,23,2,0.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Maggio et al. 2009 ICES J Mar Sci 66:1883-1891,0,France,"Sete, Gulf of Lions",43,14,,4,10,,2002-2003,1,Mb39,0,24,4,0.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Maggio et al. 2009 ICES J Mar Sci 66:1883-1891,0,Italy,"Genova, Tyrrhenian Sea",44,5,,8,47,,2002-2003,1,Mb6,0,20,2,0.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Maggio et al. 2009 ICES J Mar Sci 66:1883-1891,0,Italy,"Genova, Tyrrhenian Sea",44,5,,8,47,,2002-2003,1,Mb7,0,20,2,0.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Maggio et al. 2009 ICES J Mar Sci 66:1883-1891,0,Italy,"Genova, Tyrrhenian Sea",44,5,,8,47,,2002-2003,1,Mb15,0,20,2,0.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Maggio et al. 2009 ICES J Mar Sci 66:1883-1891,0,Italy,"Genova, Tyrrhenian Sea",44,5,,8,47,,2002-2003,1,Mb26,0,20,2,0.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
